chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,target
0.36257657,1777.6406141070534,2509.8348291174393,2751.703546439965,0.04602074,0.042468006815545245,ok
0.4628126,2700.454645880409,2883.268646689538,5033.024013014791,0.06495206,0.06199472520301624,ok
0.19508506,1529.4950313677475,1297.0847603997033,3085.9927856728536,0.02937021,0.04176334106728538,ok
0.29957098,3977.2973054258705,2198.7303725687507,5162.7728030742455,0.03195401,0.16093228864559164,ok
0.44149786,3146.4782410298617,2828.713422970738,5250.911458333333,0.008206896,0.10458147967303241,ok
0.27514204,3733.2273689950407,3021.259338615678,6758.078392365139,0.07098064,0.10514700551044083,ok
0.27514204,3733.2273689950407,3021.259338615678,6758.078392365139,0.07098064,0.10514700551044083,ok
0.27864948,2902.543864073745,3007.981146993148,5564.359547201276,0.08489969,0.0731549539588167,ok
0.34533197,3103.098327510217,3278.3148128157436,6298.736699717228,0.05971353,0.06212387616009281,ok
0.4568678,1226.1791269917896,2028.4433863800118,1799.7461164080626,0.16185823,0.024423125725058004,ok
0.37524182,3773.0887604092063,3814.7636891081493,8118.816954575116,0.04488404,0.07362057714617169,ok
0.5378834,3532.9187303336457,3708.5378588248795,7835.892740885417,0.004825459,0.08059466326678241,ok
0.19346398,1497.8667071747423,1853.3204960742153,3026.6390842517403,0.059695862,0.029113344692575406,ok
0.103429146,323.2602622038444,490.13323163894665,577.4088541666666,0.02963607,0.006960268373842593,ok
0.64819324,3487.4406827184703,4969.195228567771,9745.689029120958,0.027055072,0.039057989318706694,ok
0.27091792,3608.4943245027425,2896.853441189377,6187.273645954177,0.19012721,0.1083871084686775,ok
0.65113366,3169.1809715294344,3671.1715482410686,7721.726702979989,0.02463315,0.07083703415023201,ok
0.6769011,414.5052901671209,1066.5575786739664,646.8434651692709,0.07254597,0.008002387152777778,ok
0.44835198,4722.470776864387,3537.657251552352,8499.919677167924,0.067915246,0.16452925609048724,ok
0.50357264,3325.5832301851133,3570.8388378314203,7198.554777713626,0.005459245,0.07513892898383372,ok
0.18361308,1570.7038014220195,2388.458691150885,2485.7609936919953,0.61914206,0.02469049086426914,ok
0.19083032,1924.2252151430005,1426.6057470209662,3598.3378092447915,0.021867357,0.06709006980613426,ok
0.36780763,2530.0381292166803,3198.4854166169357,5623.263599369199,0.050929192,0.04555856656032482,ok
0.31605494,3896.807548237018,2658.3746390795536,6381.622045388631,0.053543907,0.13327245867169374,ok
0.62515193,4336.590803110738,4783.815805876253,9791.675821940104,0.013884071,0.09474238642939815,ok
0.22657135,2068.974383857882,1815.0595626520221,3781.718953450521,0.1528575,0.05320457175925926,ok
0.62515193,4336.590803110738,4783.815805876253,9791.675821940104,0.013884071,0.09474238642939815,ok
0.3221606,2410.2383712031024,2930.2174426320084,4491.596351145592,0.049781382,0.06479979335846868,ok
0.76294917,1458.3506417960584,3293.7749821626994,2168.836154012702,0.04683428,0.010803081697459584,ok
